CMDLINE C:\Users\Алексей\AppData\Local\Programs\Python\Python311\python.exe mem_test.py
MEM 1.601562 1685209883.0541
MEM 16.980469 1685209883.1554
MEM 26.687500 1685209883.2563
MEM 41.894531 1685209883.3567
MEM 61.992188 1685209883.4574
MEM 81.386719 1685209883.5581
MEM 101.890625 1685209883.6591
MEM 123.992188 1685209883.7595
MEM 136.250000 1685209883.8605
MEM 155.566406 1685209883.9613
MEM 176.667969 1685209884.0622
MEM 196.421875 1685209884.1629
MEM 211.035156 1685209884.2641
MEM 225.660156 1685209884.3648
MEM 246.179688 1685209884.4652
MEM 265.375000 1685209884.5663
MEM 287.562500 1685209884.6666
MEM 306.835938 1685209884.7669
MEM 323.593750 1685209884.8679
MEM 346.671875 1685209884.9690
MEM 330.878906 1685209885.0698
MEM 350.191406 1685209885.1699
MEM 369.003906 1685209885.2708
MEM 325.847656 1685209885.3720
MEM 347.039062 1685209885.4726
MEM 367.105469 1685209885.5736
MEM 312.300781 1685209885.6747
MEM 334.511719 1685209885.7750
MEM 357.078125 1685209885.8761
MEM 400.722656 1685209885.9768
MEM 304.710938 1685209886.0780
MEM 327.023438 1685209886.1788
MEM 349.652344 1685209886.2790
MEM 420.082031 1685209886.3800
MEM 495.292969 1685209886.4806
MEM 429.644531 1685209886.5817
MEM 448.007812 1685209886.6826
MEM 465.074219 1685209886.7835
MEM 483.324219 1685209886.8842
MEM 516.449219 1685209886.9849
MEM 447.882812 1685209887.0859
MEM 395.683594 1685209887.1865
MEM 406.144531 1685209887.2867
MEM 398.707031 1685209887.3872
MEM 398.714844 1685209887.4880
MEM 398.867188 1685209887.5884
MEM 414.406250 1685209887.6891
MEM 430.472656 1685209887.7903
MEM 448.472656 1685209887.8907
MEM 465.695312 1685209887.9914
MEM 471.656250 1685209888.0924
MEM 436.160156 1685209888.1934
MEM 395.585938 1685209888.2946
MEM 400.878906 1685209888.3955
MEM 418.199219 1685209888.4959
MEM 435.582031 1685209888.5969
MEM 453.074219 1685209888.6984
MEM 469.824219 1685209888.7987
MEM 482.312500 1685209888.8997
MEM 526.769531 1685209889.0005
MEM 575.699219 1685209889.1013
MEM 626.890625 1685209889.2024
MEM 586.609375 1685209889.3030
MEM 354.246094 1685209889.4039
MEM 371.562500 1685209889.5045
MEM 392.500000 1685209889.6050
MEM 415.878906 1685209889.7057
MEM 435.003906 1685209889.8068
MEM 446.066406 1685209889.9076
MEM 395.742188 1685209890.0081
MEM 396.140625 1685209890.1092
MEM 277.242188 1685209890.2101
MEM 283.000000 1685209890.3110
MEM 300.902344 1685209890.4122
MEM 324.253906 1685209890.5135
MEM 348.128906 1685209890.6138
MEM 371.070312 1685209890.7148
MEM 385.421875 1685209890.8155
MEM 385.429688 1685209890.9165
MEM 414.300781 1685209891.0175
MEM 416.230469 1685209891.1186
MEM 425.230469 1685209891.2196
MEM 251.082031 1685209891.3201
MEM 272.394531 1685209891.4212
MEM 291.523438 1685209891.5222
MEM 314.960938 1685209891.6232
MEM 336.710938 1685209891.7243
MEM 358.960938 1685209891.8249
MEM 483.781250 1685209891.9259
MEM 381.585938 1685209892.0267
MEM 393.777344 1685209892.1272
MEM 413.714844 1685209892.2282
MEM 432.527344 1685209892.3286
MEM 451.089844 1685209892.4299
MEM 467.964844 1685209892.5302
MEM 490.839844 1685209892.6306
MEM 635.492188 1685209892.7310
MEM 519.792969 1685209892.8317
MEM 542.355469 1685209892.9327
MEM 547.449219 1685209893.0336
MEM 547.867188 1685209893.1348
MEM 561.742188 1685209893.2358
MEM 581.492188 1685209893.3444
MEM 604.683594 1685209893.4462
MEM 625.246094 1685209893.5465
MEM 647.371094 1685209893.6472
MEM 717.496094 1685209893.7478
MEM 838.246094 1685209893.8484
MEM 514.664062 1685209893.9495
MEM 533.042969 1685209894.0506
MEM 551.730469 1685209894.1519
MEM 566.480469 1685209894.2523
MEM 576.042969 1685209894.3528
MEM 593.421875 1685209894.4536
MEM 615.484375 1685209894.5548
MEM 639.296875 1685209894.6559
MEM 661.812500 1685209894.7567
MEM 681.746094 1685209894.8578
MEM 788.652344 1685209894.9587
MEM 579.964844 1685209895.0594
MEM 419.089844 1685209895.1602
MEM 310.792969 1685209895.2610
MEM 310.828125 1685209895.3614
MEM 311.957031 1685209895.4625
MEM 325.519531 1685209895.5634
MEM 344.332031 1685209895.6643
MEM 361.207031 1685209895.7651
MEM 382.207031 1685209895.8653
MEM 396.941406 1685209895.9663
MEM 414.394531 1685209896.0667
MEM 435.457031 1685209896.1677
MEM 458.019531 1685209896.2685
MEM 481.582031 1685209896.3688
MEM 505.535156 1685209896.4698
MEM 654.738281 1685209896.5706
MEM 807.226562 1685209896.6711
MEM 508.269531 1685209896.7717
MEM 528.457031 1685209896.8720
MEM 551.082031 1685209896.9730
MEM 572.394531 1685209897.0734
MEM 590.082031 1685209897.1737
MEM 607.144531 1685209897.2743
MEM 593.332031 1685209897.3747
MEM 612.015625 1685209897.4751
MEM 631.148438 1685209897.5761
MEM 631.207031 1685209897.6767
MEM 631.632812 1685209897.7774
MEM 631.687500 1685209897.8784
MEM 631.937500 1685209897.9795
MEM 632.464844 1685209898.0806
MEM 632.902344 1685209898.1810
MEM 633.214844 1685209898.2819
MEM 633.214844 1685209898.3822
MEM 633.402344 1685209898.4827
MEM 633.402344 1685209898.5834
MEM 633.402344 1685209898.6839
MEM 633.687500 1685209898.7844
MEM 634.187500 1685209898.8847
MEM 634.187500 1685209898.9853
MEM 634.277344 1685209899.0864
MEM 634.464844 1685209899.1868
MEM 634.589844 1685209899.2871
MEM 635.000000 1685209899.3878
MEM 651.921875 1685209899.4889
MEM 673.921875 1685209899.5892
MEM 696.351562 1685209899.6899
MEM 721.214844 1685209899.7906
MEM 758.839844 1685209899.8915
MEM 784.656250 1685209899.9926
MEM 801.156250 1685209900.0929
MEM 826.000000 1685209900.1937
MEM 860.000000 1685209900.2948
MEM 844.531250 1685209900.3953
MEM 767.250000 1685209900.4963
MEM 747.726562 1685209900.5973
MEM 746.292969 1685209900.6980
MEM 746.292969 1685209900.7991
MEM 746.292969 1685209900.8993
MEM 747.132812 1685209901.0002
MEM 748.167969 1685209901.1006
MEM 749.707031 1685209901.2016
MEM 751.425781 1685209901.3023
MEM 752.753906 1685209901.4029
MEM 752.753906 1685209901.5032
MEM 752.753906 1685209901.6036
MEM 753.945312 1685209901.7043
MEM 780.484375 1685209901.8047
MEM 811.656250 1685209901.9058
MEM 846.058594 1685209902.0062
MEM 875.625000 1685209902.1071
MEM 924.179688 1685209902.2081
MEM 874.324219 1685209902.3085
MEM 817.042969 1685209902.4090
MEM 766.453125 1685209902.5099
MEM 716.351562 1685209902.6103
MEM 653.730469 1685209902.7113
MEM 704.296875 1685209902.8122
MEM 762.191406 1685209902.9127
MEM 785.972656 1685209903.0137
MEM 781.457031 1685209903.1142
MEM 778.375000 1685209903.2149
MEM 779.230469 1685209903.3155
MEM 780.480469 1685209903.4163
MEM 780.558594 1685209903.5169
MEM 780.636719 1685209903.6975
MEM 781.726562 1685209903.7990
MEM 783.371094 1685209903.9002
MEM 783.914062 1685209904.0012
MEM 783.914062 1685209904.1016
MEM 784.144531 1685209904.2025
MEM 785.082031 1685209904.3028
MEM 786.023438 1685209904.4035
MEM 787.191406 1685209904.5048
MEM 788.281250 1685209904.6052
MEM 788.359375 1685209904.7060
MEM 788.597656 1685209904.8066
MEM 801.246094 1685209904.9071
MEM 820.937500 1685209905.0077
MEM 844.179688 1685209905.1090
MEM 872.886719 1685209905.2098
MEM 903.359375 1685209905.3106
MEM 932.683594 1685209905.4109
MEM 961.335938 1685209905.5118
MEM 987.019531 1685209905.6121
MEM 1010.636719 1685209905.7127
MEM 1033.941406 1685209905.8129
MEM 1063.777344 1685209905.9140
MEM 1086.156250 1685209906.0151
MEM 1086.414062 1685209906.1158
MEM 1085.277344 1685209906.2163
MEM 1085.531250 1685209906.3169
MEM 1088.402344 1685209906.4175
MEM 1089.394531 1685209906.5180
MEM 1110.164062 1685209906.6187
MEM 1110.953125 1685209906.7192
MEM 1112.039062 1685209906.8201
MEM 1120.792969 1685209906.9206
MEM 1144.488281 1685209907.0218
MEM 1171.734375 1685209907.1223
MEM 1199.238281 1685209907.2228
MEM 1218.628906 1685209907.3231
MEM 1219.113281 1685209907.4235
MEM 1219.109375 1685209907.5246
MEM 1229.890625 1685209907.6254
MEM 1230.144531 1685209907.7260
MEM 1230.117188 1685209907.8266
MEM 1230.136719 1685209907.9271
MEM 1225.328125 1685209908.0274
MEM 1226.910156 1685209908.1280
MEM 1195.898438 1685209908.2285
MEM 1188.722656 1685209908.3290
MEM 1150.925781 1685209908.4297
MEM 1151.667969 1685209908.5307
MEM 1157.535156 1685209908.6310
MEM 1158.503906 1685209908.7316
MEM 1159.003906 1685209908.8319
MEM 1159.003906 1685209908.9335
MEM 1159.003906 1685209909.0339
MEM 1159.292969 1685209909.1344
MEM 1159.761719 1685209909.2351
MEM 1160.152344 1685209909.3359
MEM 1174.820312 1685209909.4363
MEM 1201.636719 1685209909.5366
MEM 1231.359375 1685209909.6378
MEM 1259.429688 1685209909.7384
MEM 1270.824219 1685209909.8389
MEM 1268.875000 1685209909.9397
MEM 1269.113281 1685209910.0404
MEM 1274.628906 1685209910.1410
MEM 1285.480469 1685209910.2414
MEM 1292.851562 1685209910.3421
MEM 1303.265625 1685209910.4430
MEM 1314.917969 1685209910.5439
MEM 1316.253906 1685209910.6443
MEM 1317.082031 1685209910.7451
MEM 1315.152344 1685209910.8456
MEM 1314.015625 1685209910.9461
MEM 1315.136719 1685209911.0465
MEM 1318.007812 1685209911.1475
MEM 1327.867188 1685209911.2483
MEM 1336.781250 1685209911.3488
MEM 1343.910156 1685209911.4498
MEM 1349.871094 1685209911.5508
MEM 1352.281250 1685209911.6518
MEM 1359.167969 1685209911.7523
MEM 1356.347656 1685209911.8526
MEM 1357.640625 1685209911.9534
MEM 1355.644531 1685209912.0537
MEM 1355.644531 1685209912.1540
MEM 1355.644531 1685209912.2548
MEM 1355.960938 1685209912.3556
MEM 1362.218750 1685209912.4561
MEM 1367.492188 1685209912.5570
MEM 1377.167969 1685209912.6573
MEM 1380.906250 1685209912.7577
MEM 1392.117188 1685209912.8581
MEM 1399.722656 1685209912.9591
MEM 1407.062500 1685209913.0595
MEM 1420.585938 1685209913.1605
MEM 1430.511719 1685209913.2608
MEM 1437.988281 1685209913.3613
MEM 1437.988281 1685209913.4620
MEM 1449.910156 1685209913.5624
MEM 1449.910156 1685209913.6634
MEM 1449.910156 1685209913.7645
MEM 1449.910156 1685209913.8661
MEM 1450.347656 1685209913.9667
MEM 1456.648438 1685209914.0674
MEM 1450.632812 1685209914.1679
MEM 1443.894531 1685209914.2686
MEM 1445.164062 1685209914.3696
MEM 1445.164062 1685209914.4707
MEM 1445.164062 1685209914.5713
MEM 1445.777344 1685209914.6720
MEM 1446.710938 1685209914.7724
MEM 1447.414062 1685209914.8732
MEM 1450.156250 1685209914.9736
MEM 1456.296875 1685209915.0746
MEM 1458.839844 1685209915.1757
MEM 1463.238281 1685209915.2764
MEM 1469.191406 1685209915.3768
MEM 1473.789062 1685209915.4786
MEM 1478.914062 1685209915.5794
MEM 1485.003906 1685209915.6801
MEM 1488.738281 1685209915.7806
MEM 1488.738281 1685209915.8813
MEM 1494.925781 1685209915.9821
MEM 1500.968750 1685209916.0827
MEM 1505.558594 1685209916.1831
MEM 1511.820312 1685209916.2835
MEM 1514.218750 1685209916.3840
MEM 1514.453125 1685209916.4848
MEM 1514.453125 1685209916.5853
MEM 1514.453125 1685209916.6858
MEM 1516.683594 1685209916.7866
MEM 1518.632812 1685209916.8873
MEM 1524.414062 1685209916.9885
MEM 1530.910156 1685209917.0896
MEM 1536.121094 1685209917.1902
MEM 1542.824219 1685209917.2917
MEM 1548.527344 1685209917.3926
MEM 1548.527344 1685209917.4934
MEM 1548.527344 1685209917.5946
MEM 1548.527344 1685209917.6958
MEM 1553.910156 1685209917.7961
MEM 1559.738281 1685209917.8969
MEM 1564.250000 1685209917.9977
MEM 1570.953125 1685209918.0983
MEM 1578.425781 1685209918.1987
MEM 1580.750000 1685209918.2998
MEM 1586.753906 1685209918.4001
MEM 1593.375000 1685209918.5008
MEM 1598.511719 1685209918.6020
MEM 1604.304688 1685209918.7025
MEM 1608.324219 1685209918.8037
MEM 1608.324219 1685209918.9042
MEM 1611.679688 1685209919.0052
MEM 1616.636719 1685209919.1058
MEM 1617.898438 1685209919.2067
MEM 1619.292969 1685209919.3077
MEM 1619.574219 1685209919.4080
MEM 1620.691406 1685209919.5085
MEM 1621.679688 1685209919.6096
MEM 1623.113281 1685209919.7101
MEM 1624.273438 1685209919.8105
MEM 1625.644531 1685209919.9111
MEM 1626.652344 1685209920.0118
MEM 1626.652344 1685209920.1126
MEM 1626.652344 1685209920.2136
MEM 1626.652344 1685209920.3151
MEM 1626.652344 1685209920.4158
MEM 1626.652344 1685209920.5168
MEM 1626.652344 1685209920.6180
MEM 1626.652344 1685209920.7187
MEM 1626.652344 1685209920.8198
MEM 1643.644531 1685209920.9206
MEM 1643.644531 1685209921.0211
MEM 1643.644531 1685209921.1219
MEM 1643.644531 1685209921.2228
MEM 1643.644531 1685209921.3232
MEM 1643.644531 1685209921.4236
MEM 1643.644531 1685209921.5242
MEM 1643.644531 1685209921.6250
MEM 1643.644531 1685209921.7258
MEM 1643.644531 1685209921.8263
MEM 1643.644531 1685209921.9269
MEM 1632.183594 1685209922.0281
MEM 1628.667969 1685209922.1291
MEM 1630.550781 1685209922.2301
MEM 1632.718750 1685209922.3305
MEM 1635.539062 1685209922.4316
MEM 1639.960938 1685209922.5324
MEM 1643.222656 1685209922.6331
MEM 1646.750000 1685209922.7346
MEM 1649.785156 1685209922.8353
MEM 1650.671875 1685209922.9357
MEM 1649.667969 1685209923.0367
MEM 1650.167969 1685209923.1372
MEM 1645.660156 1685209923.2374
MEM 1641.445312 1685209923.3381
MEM 1645.167969 1685209923.4388
MEM 1648.906250 1685209923.5392
MEM 1650.687500 1685209923.6401
MEM 1650.378906 1685209923.7413
MEM 1650.378906 1685209923.8418
MEM 1645.250000 1685209923.9428
MEM 1643.984375 1685209924.0433
MEM 1640.667969 1685209924.1447
MEM 1640.328125 1685209924.2457
MEM 1638.464844 1685209924.3463
MEM 1641.140625 1685209924.4476
MEM 1646.605469 1685209924.5485
MEM 1651.277344 1685209924.6490
MEM 1654.703125 1685209924.7496
MEM 1659.265625 1685209924.8500
MEM 1664.792969 1685209924.9505
MEM 1666.699219 1685209925.0512
MEM 1667.414062 1685209925.1525
MEM 1667.328125 1685209925.2537
MEM 1667.398438 1685209925.3548
MEM 1667.398438 1685209925.4558
MEM 1667.398438 1685209925.5568
MEM 1667.398438 1685209925.6572
MEM 1671.105469 1685209925.7576
MEM 1676.390625 1685209925.8582
MEM 1682.347656 1685209925.9585
MEM 1686.570312 1685209926.0595
MEM 1691.921875 1685209926.1607
MEM 1697.292969 1685209926.2613
MEM 1699.160156 1685209926.3618
MEM 1705.550781 1685209926.4623
MEM 1712.242188 1685209926.5632
MEM 1716.671875 1685209926.6640
MEM 1723.453125 1685209926.7645
MEM 1727.191406 1685209926.8655
MEM 1727.191406 1685209926.9668
MEM 1732.281250 1685209927.0674
MEM 1738.398438 1685209927.1685
MEM 1743.847656 1685209927.2688
MEM 1750.078125 1685209927.3692
MEM 1755.707031 1685209927.4704
MEM 1757.554688 1685209927.5717
MEM 1763.914062 1685209927.6725
MEM 1769.640625 1685209927.7730
MEM 1774.718750 1685209927.8734
MEM 1780.980469 1685209927.9742
MEM 1784.953125 1685209928.0744
MEM 1784.953125 1685209928.1757
MEM 1784.953125 1685209928.2769
MEM 1784.953125 1685209928.3772
MEM 1784.953125 1685209928.4780
MEM 1784.953125 1685209928.5789
MEM 1784.953125 1685209928.6794
MEM 1784.953125 1685209928.7799
MEM 1787.066406 1685209928.8805
MEM 1792.750000 1685209928.9817
MEM 1799.898438 1685209929.0823
MEM 1804.664062 1685209929.1829
MEM 1811.109375 1685209929.2836
MEM 1814.847656 1685209929.3845
MEM 1818.613281 1685209929.4852
MEM 1821.644531 1685209929.5861
MEM 1823.546875 1685209929.6867
MEM 1829.636719 1685209929.7876
MEM 1835.769531 1685209929.8888
MEM 1838.488281 1685209929.9893
MEM 1838.644531 1685209930.0901
MEM 1838.730469 1685209930.1909
MEM 1840.355469 1685209930.2915
MEM 1841.640625 1685209930.3921
MEM 1847.250000 1685209930.4931
MEM 1853.640625 1685209930.5935
MEM 1856.589844 1685209930.6945
MEM 1863.148438 1685209930.7958
MEM 1866.402344 1685209930.8969
MEM 1866.402344 1685209930.9980
MEM 1866.402344 1685209931.0987
MEM 1866.402344 1685209931.1991
MEM 1866.402344 1685209931.2997
MEM 1866.402344 1685209931.4001
MEM 1866.402344 1685209931.5007
MEM 1866.402344 1685209931.6010
MEM 1866.402344 1685209931.7021
MEM 1866.402344 1685209931.8029
MEM 1868.023438 1685209931.9037
MEM 1871.527344 1685209932.0040
MEM 1877.277344 1685209932.1047
MEM 1880.527344 1685209932.2057
MEM 1885.785156 1685209932.3065
MEM 1890.425781 1685209932.4069
MEM 1891.957031 1685209932.5082
MEM 1891.957031 1685209932.6095
MEM 1896.820312 1685209932.7104
MEM 1901.890625 1685209932.8111
MEM 1903.183594 1685209932.9124
MEM 1904.144531 1685209933.0133
MEM 1905.660156 1685209933.1139
MEM 1905.679688 1685209933.2146
MEM 1905.859375 1685209933.3159
MEM 1909.867188 1685209933.4167
MEM 1913.960938 1685209933.5172
MEM 1917.632812 1685209933.6178
MEM 1918.421875 1685209933.7184
MEM 1918.421875 1685209933.8196
MEM 1918.421875 1685209933.9201
MEM 1918.421875 1685209934.0207
MEM 1918.421875 1685209934.1213
MEM 1918.421875 1685209934.2217
MEM 1918.421875 1685209934.3224
MEM 1918.421875 1685209934.4236
MEM 1918.421875 1685209934.5241
MEM 1918.421875 1685209934.6247
MEM 1918.421875 1685209934.7257
MEM 1918.421875 1685209934.8266
MEM 1918.421875 1685209934.9274
MEM 1918.421875 1685209935.0285
MEM 1918.421875 1685209935.1292
MEM 1918.421875 1685209935.2303
MEM 1918.421875 1685209935.3306
MEM 1918.421875 1685209935.4313
MEM 1918.421875 1685209935.5318
MEM 1918.421875 1685209935.6325
MEM 1918.421875 1685209935.7332
MEM 1918.421875 1685209935.8339
MEM 1938.378906 1685209935.9347
MEM 1938.296875 1685209936.0357
MEM 1938.296875 1685209936.1366
MEM 1938.296875 1685209936.2371
MEM 1938.296875 1685209936.3379
MEM 1938.296875 1685209936.4385
MEM 1938.296875 1685209936.5390
MEM 1938.296875 1685209936.6395
MEM 1938.296875 1685209936.7407
MEM 1938.296875 1685209936.8413
MEM 1938.296875 1685209936.9419
MEM 1938.296875 1685209937.0426
MEM 1938.296875 1685209937.1434
MEM 1938.296875 1685209937.2440
MEM 1938.296875 1685209937.3447
MEM 1938.296875 1685209937.4460
MEM 1938.296875 1685209937.5469
MEM 1938.296875 1685209937.6472
MEM 1938.296875 1685209937.7482
MEM 1938.296875 1685209937.8485
MEM 1938.296875 1685209937.9493
MEM 1938.296875 1685209938.0504
MEM 1938.296875 1685209938.1510
MEM 1938.296875 1685209938.2518
MEM 1942.785156 1685209938.3524
MEM 1948.699219 1685209938.4533
MEM 1953.132812 1685209938.5546
MEM 1958.546875 1685209938.6558
MEM 1962.230469 1685209938.7571
MEM 1964.062500 1685209938.8579
MEM 1968.539062 1685209938.9583
MEM 1971.015625 1685209939.0589
MEM 1971.042969 1685209939.1593
MEM 1971.019531 1685209939.2598
MEM 1971.011719 1685209939.3603
MEM 1971.011719 1685209939.4606
MEM 1976.996094 1685209939.5616
MEM 1982.562500 1685209939.6626
MEM 1985.972656 1685209939.7631
MEM 1991.914062 1685209939.8637
MEM 1994.945312 1685209939.9642
MEM 1998.863281 1685209940.0654
MEM 2004.671875 1685209940.1661
MEM 2004.785156 1685209940.2671
MEM 2008.023438 1685209940.3674
MEM 2010.066406 1685209940.4683
MEM 2010.066406 1685209940.5688
MEM 2010.066406 1685209940.6701
MEM 2010.066406 1685209940.7710
MEM 2010.066406 1685209940.8720
MEM 2010.066406 1685209940.9727
MEM 2010.066406 1685209941.0734
MEM 2010.066406 1685209941.1744
MEM 2010.066406 1685209941.2750
MEM 2010.066406 1685209941.3755
MEM 2010.066406 1685209941.4767
MEM 2010.066406 1685209941.5776
MEM 2010.066406 1685209941.6782
MEM 2010.066406 1685209941.7789
MEM 2010.066406 1685209941.8801
MEM 2010.066406 1685209941.9808
MEM 2010.066406 1685209942.0813
MEM 2010.066406 1685209942.1820
MEM 2010.066406 1685209942.2823
MEM 2010.066406 1685209942.3830
MEM 2010.066406 1685209942.4839
